# temp (K) alpha1        alpha2
1        3.88E-28        1.73E-09
2.7      1.79E-16        1.45E-09
5        2.21E-13        1.18E-09
10       1.30E-11        9.55E-10
15       5.12E-11        8.95E-10
20       1.04E-10        8.90E-10
25       1.63E-10        9.06E-10
30       2.22E-10        9.31E-10
35       2.81E-10        9.59E-10
40       3.38E-10        9.89E-10
45       3.93E-10        1.02E-09
50       4.45E-10        1.05E-09
75       6.75E-10        1.20E-09
100      8.63E-10        1.32E-09
200      1.40E-09        1.73E-09
300      1.76E-09        2.03E-09
400      2.05E-09        2.28E-09
500      2.29E-09        2.49E-09
600      2.50E-09        2.68E-09
700      2.68E-09        2.85E-09
800      2.85E-09        3.01E-09
900      3.01E-09        3.15E-09
1000     3.15E-09        3.29E-09
1500     3.75E-09        3.86E-09
2000     4.23E-09        4.32E-09
3000     5.00E-09        5.07E-09
4000     5.61E-09        5.67E-09
5000     6.13E-09        6.18E-09
6000     6.59E-09        6.63E-09
7000     7.00E-09        7.04E-09
8000     7.37E-09        7.41E-09
9000     7.72E-09        7.75E-09
10000    8.04E-09        8.07E-09
11000    8.34E-09        8.37E-09
12000    8.62E-09        8.65E-09
13000    8.89E-09        8.92E-09
14000    9.15E-09        9.17E-09
15000    9.39E-09        9.42E-09
20000    1.05E-08        1.05E-08
25000    1.14E-08        1.14E-08
30000    1.22E-08        1.23E-08
35000    1.30E-08        1.30E-08
40000    1.37E-08        1.37E-08
50000    1.49E-08        1.49E-08
75000    1.73E-08        1.74E-08
100000   1.93E-08        1.93E-08
200000   2.50E-08        2.50E-08
