# temp h_1 he_1 he_2 c_1 c_2 c_3 n_1 n_2 n_3 n_4 o_1 o_2 o_3 o_4 o_5
8.617332358068374720e-02 4.878199940958329352e-78 5.357312777109768651e-134 9.408689706471920272e-285 6.874300338711660158e-66 1.251558264840572433e-132 2.295414563193865801e-251 1.407027288995056744e-82 1.374433079037298082e-158 7.486926644458056188e-249 0.000000000000000000e+00 3.987556486669596687e-78 8.571571862728765847e-187 1.332145440427758354e-286 0.000000000000000000e+00 0.000000000000000000e+00
8.657148064448177971e-02 1.010317919168337120e-77 1.994682647646085508e-133 1.721362518292347835e-283 1.256741181766266521e-65 4.609741960872540389e-132 2.963798485383204157e-250 3.063363889309016128e-82 6.687068301296312810e-158 9.442965223185137834e-248 0.000000000000000000e+00 8.267035967342920758e-78 5.598186438099065986e-186 2.505522064896595569e-285 0.000000000000000000e+00 0.000000000000000000e+00
8.697147736167668008e-02 2.085484558208305130e-77 7.382096111788870526e-133 3.107523381708795974e-282 2.291199685854693135e-65 1.687730495041114096e-131 3.782084293704638617e-249 6.645770701536489081e-82 3.229924279237972443e-157 1.177212761913290317e-246 0.000000000000000000e+00 1.708209208646409982e-77 3.624855821449760648e-185 4.649309438994033490e-284 0.000000000000000000e+00 0.000000000000000000e+00
8.737332223224245076e-02 4.290550637284538291e-77 2.715668249133572391e-132 5.535820694851079213e-281 4.165674263744613392e-65 6.142461938327636645e-131 4.770151893784456687e-248 1.436646566108382391e-81 1.548844642258358661e-156 1.450663070447791216e-245 0.000000000000000000e+00 3.517930211788362386e-77 2.327061314452081694e-184 8.512345408231846815e-283 0.000000000000000000e+00 0.000000000000000000e+00
8.777702379542620670e-02 8.797977611190633877e-77 9.930631524751753536e-132 9.731991688965659730e-280 7.552981838477399775e-65 2.222320260588592749e-130 5.946686660408800275e-247 3.094706314401900269e-81 7.373891709089936254e-156 1.767121163493158381e-244 0.000000000000000000e+00 7.220960278938195165e-77 1.481207028003457355e-183 1.537826709315835768e-281 0.000000000000000000e+00 0.000000000000000000e+00
8.818259062993032138e-02 1.798138112072765287e-76 3.609874462209445257e-131 1.688495797518144697e-278 1.365739314504469135e-64 7.992956665102001181e-130 7.327958631806992296e-246 6.642949015214565324e-81 3.485566826188345872e-155 2.128027960246334894e-243 0.000000000000000000e+00 1.477307433176544371e-76 9.348277799404520283e-183 2.741508674116548081e-280 0.000000000000000000e+00 0.000000000000000000e+00
8.859003135409411478e-02 3.663027578955869035e-76 1.304470608507850087e-130 2.891366153869389675e-277 2.462855121394072315e-64 2.857963668818998149e-129 8.926459216457011418e-245 1.420958525108201964e-80 1.635882648129691873e-154 2.533509309872147329e-242 0.000000000000000000e+00 3.012462057681790597e-76 5.850221973015843852e-182 4.823057910088995694e-279 0.000000000000000000e+00 0.000000000000000000e+00
8.899935462607733161e-02 7.437737124937192527e-76 4.686140446239614182e-130 4.886942721373741584e-276 4.429319636639129929e-64 1.015935458854935093e-128 1.074946261923129466e-243 3.028920573417440291e-80 7.623373532616755434e-154 2.982117082599007822e-241 0.000000000000000000e+00 6.122849978586167039e-76 3.630403290480175238e-181 8.373989234819009036e-278 0.000000000000000000e+00 0.000000000000000000e+00
8.941056914404425793e-02 1.505329145903525685e-75 1.673581576184876973e-129 8.153208043365257220e-275 7.944520258371404342e-64 3.590437627564761038e-128 1.279760021034610269e-242 6.434092976860419430e-80 3.527546588322831326e-153 3.470616452967993020e-240 0.000000000000000000e+00 1.240433556155752811e-75 2.234066094797313630e-180 1.434979544107235489e-276 0.000000000000000000e+00 0.000000000000000000e+00
8.982368364634801816e-02 3.036816920482636088e-75 5.942111295980047782e-129 1.342773840242544823e-273 1.421137831058189308e-63 1.261572278145130171e-127 1.506355296651440026e-241 1.362030007260691989e-79 1.620850418238660332e-152 3.993842421508457215e-239 0.000000000000000000e+00 2.504884718494740966e-75 1.363366218665371973e-179 2.427105261787297759e-275 0.000000000000000000e+00 0.000000000000000000e+00
